created_at,vendor_name,brand_name,title,sku,handle,inventory_quantity,original_price,discounted_price,category_names,image_links,main_category
26:29.8,Consumer Express Laptops,Apple,Apple iPad Air 6 11 inch M2 256GB WiFi - Non Active - Sealed (Installment),AP-Ip6-CE,apple-ipad-air-6-11-inch-m2-256gb-wifi-non-active-sealed-installment,100,223799,221299,Mobile Phones & Tablets,https://cdn.comverseglobal.com/alfa/products/product_images/ap-ip6-ce_120525165739172909.jpg,Mobile Phones & Tablets
26:28.9,Consumer Express Laptops,Apple,Apple iPad 11 (A16) WiFi 128GB - Non Active - Sealed (Installment),AP-iP11-CE,apple-ipad-11-a16-wifi-128gb-non-active-sealed-installment,100,134899,133899,Mobile Phones & Tablets,https://cdn.comverseglobal.com/alfa/products/product_images/ap-ip11-ce_120525165826761206.jpg,Mobile Phones & Tablets
23:56.1,WOJOZO,Apple,iPhone16 Official PTA Approval Service on Installments,PTAAPP156_IP16_WOJOZO,iphone16-official-pta-approval-service-on-installments-138,1000,133088,133088,"PTA Approval, PTA Iphone",https://cdn.comverseglobal.com/alfa/products/product_images/pta-16_120525205434421406.jpg,Mobile Phones & Tablets
23:55.1,WOJOZO,Apple,iPhone 16 Pro Official PTA Approval Service on Installments,PTAAPP156_IP16P_WOJOZO,iphone-16-pro-official-pta-approval-service-on-installments-138,1000,151288,151288,"PTA Approval, PTA Iphone",https://cdn.comverseglobal.com/alfa/products/product_images/pta-16p_120525205447684186.jpg,Mobile Phones & Tablets
23:54.2,WOJOZO,Apple,iPhone 16 Pro Max Official PTA Approval Service on Installments,PTAAPP156_IP16PM_WOJOZO,iphone-16-pro-max-official-pta-approval-service-on-installments-138,1000,168284,168284,"PTA Approval, PTA Iphone",https://cdn.comverseglobal.com/alfa/products/product_images/pta-16pm_120525205500704477.jpg,Mobile Phones & Tablets
23:53.2,WOJOZO,Apple,iPhone 15Pro Official PTA Approval Service on Installments,PTAAPP156_IP15P_WOJOZO,iphone-15pro-official-pta-approval-service-on-installments-138,1000,148488,148488,"PTA Approval, PTA Iphone",https://cdn.comverseglobal.com/alfa/products/product_images/pta-15p_120525205513400823.jpg,Mobile Phones & Tablets
23:52.1,WOJOZO,Apple,iPhone 15 Pro Max Official PTA Approval Service on Installments,PTAAPP156_IP15PM_WOJOZO,iphone-15-pro-max-official-pta-approval-service-on-installments-138,1000,161388,161388,"PTA Approval, PTA Iphone",https://cdn.comverseglobal.com/alfa/products/product_images/pta-15pm_120525205526934829.jpg,Mobile Phones & Tablets
23:51.0,WOJOZO,Apple,iPhone 15 Official PTA Approval Service on Installments,PTAAPP156_IP15_WOJOZO,iphone-15-official-pta-approval-service-on-installments-138,1000,125788,125788,"PTA Approval, PTA Iphone",https://cdn.comverseglobal.com/alfa/products/product_images/pta-15_120525205540415940.jpg,Mobile Phones & Tablets
23:48.6,WOJOZO,Apple,iPhone 14 Pro Official PTA Approval Service on Installments,PTAAPP156_IP14P_WOJOZO,iphone-14-pro-official-pta-approval-service-on-installments-138,1000,137988,137988,"PTA Approval, PTA Iphone",https://cdn.comverseglobal.com/alfa/products/product_images/pta-14p_120525205553907237.jpg,Mobile Phones & Tablets
23:47.6,WOJOZO,Apple,iPhone 14 Pro Max Official PTA Approval Service on Installments,PTAAPP156_IP14PM_WOJOZO,iphone-14-pro-max-official-pta-approval-service-on-installments-138,1000,143688,143688,"PTA Approval, PTA Iphone",https://cdn.comverseglobal.com/alfa/products/product_images/pta-14pm_120525205608024426.jpg,Mobile Phones & Tablets
23:46.0,WOJOZO,Apple,iPhone 14 Official PTA Approval Service on Installments,PTAAPP156_IP14_WOJOZO,iphone-14-official-pta-approval-service-on-installments-138,1000,123688,123688,"PTA Approval, PTA Iphone",https://cdn.comverseglobal.com/alfa/products/product_images/pta-14_120525205622568353.jpg,Mobile Phones & Tablets
23:44.5,WOJOZO,Apple,iPhone 13 Pro Max Official PTA Approval Service on Installments,PTAAPP156_IP13PM_WOJOZO,iphone-13-pro-max-official-pta-approval-service-on-installments-138,1000,124288,124288,"PTA Approval, PTA Iphone",https://cdn.comverseglobal.com/alfa/products/product_images/alfamall-post_120525205637446079.png,Mobile Phones & Tablets
